id,text,stereotype,vilification,dehumanization,extreme_language,lack_of_empathy,invalidation
eng_427cea503f2e3a2b4608d26fa87a55f0,The IDF needs some B52s.,0,0,0,0,0,0
eng_98eb4278a5fb9f249149a899b8f2c4e7,Fascinating life journey leads me to ANRAurora News,0,0,0,0,0,0
eng_0d9c500e39edc99af8c61c45db8825a2,Lazy woke excuse to justify sjw practices,0,1,0,0,0,0
eng_69ebe50510087fb8c06cd12283a88ef8,5 takeaways on Republicans first impeachment hearing,0,0,0,0,0,0
eng_787ec0b4ddda46bbb5a0bf507a31d484,And yet Dems are supposed to be the breeders of open borders!,1,1,0,1,0,0
eng_858f929d068790655cc585965a87f5aa,1SS There would be no Gaza and the West Bank.,0,0,0,0,0,0
eng_370f31d6691ddc18d26d06d494cc06f3,I hate fucking Zelensky. Zelensky suck my dick,0,1,1,1,1,0
eng_2a91a01358f0069eedc4090e8745ddb3,Whats up with your eyebrow Mike Pence,0,0,0,0,0,0
eng_9b6b1646d80062a2f05138930d75e612,Survivors of Hamas attack recount escape stories,0,0,0,0,0,0
eng_477027a68cd6fb230ae40e52b95cf5df,"Elon Musk, enemy of open borders, launched his career working illegally. CORRUPTION. Trump and his BILLIONAIRES cheat and lie to benefit themselves.",0,1,0,0,0,0
eng_65daef62e35083f002d7eb2475777744,German Romeike family faces deportation in Tennessee,0,0,0,0,0,0
eng_42ec85c81580e50a0d77fe8ce6d3f283,"Wow, Egyptians are going all the way up to the West Bank and creating check points?",0,0,0,0,0,0
eng_5784b49551c7f5b1d6fc42f0a34fd597,Graphic Essay US Border Security @URL U.S. Presidentelect Donald Trump has already made clear that he plans a security,0,0,0,0,0,0
eng_29885d0f5f0eedae05761f0d49ba1509,A Week of Good and Bad News for Joe BidenThe New Yorker,0,0,0,0,0,0
eng_d71965b877d28e6be452370e6e597730,and what do the asylum seekers say?,0,0,0,0,0,0
eng_f2ea0f32f81f787efe7707a1aecdc81f,Some US and world leaders call for ceasefire,0,0,0,0,0,0
eng_01a6d616df9dc8ec4f63b15ac66511fb,Fuck Twitter Fuck YouTube Fuck Facebook Commie liberal agenda,0,1,0,1,0,1
eng_92334083942172062fd22cf2ed2207d9,"National identity, leopard. Another possible explanation is",0,0,0,0,0,0
eng_a33c476b8b41c4d38d7260d6cd20458b,ice knowyourrights immigration immgrants lamigra humanrights holdtheline,0,0,0,0,0,0
eng_866a02e5aa41e1b948d1bfb0543085b6,"Donald Trump congratulates Ken Paxton on ""Texas sized""",0,0,0,0,0,0
eng_5f42b83b70ff9fa98b99c5dcf0abd22a,Martie's Farm Service Sold to Customers,0,0,0,0,0,0
eng_250369f91bb0687e546e825d48777230,lol burner account like they be his human shields. Like who would want to wack him out with one of these strapped on him?,0,0,0,0,0,0
eng_fb136971d9590891bd4ed4acf62335e9,Northwest Wyomings deep state mole in NebraskaPowell,0,0,0,0,0,0
eng_40a09f7e6c079aa19ff215ad7d418624,Welcome to Bitcoin financial refugees,0,0,0,0,0,0
eng_1f66969a36009d6ee3d21c82a5a05c56,"War on Gaza Ceasefire deal is closer than ever, Palestinian source says @URL",0,0,0,0,0,0
eng_c0a905fae31d9037d7b35e9e82c81160,"I dont ever want to hear the phrase defund the police again. Like, ever.",0,0,0,0,0,0
eng_c87223d65ffb96e9ea30b90547ebfd90,"BreakingNews Israeli media Reports talk about the IOFs interception of two unmanned aircraft that entered ""Israeli airspace"".",0,0,0,0,0,0
eng_8089de6872c5a04e5fa57ca1f4aa1359,You all keep using the word snowflake and cant even handle people disagreeing with you. You need Jesus.,1,1,0,0,1,0
eng_a153d0e338a4028c66aea6943a6724b9,Weird that a billionaire from an apartheid state should have such leanings?,0,0,0,0,0,0
eng_247650fcd650cd681dcb1255803113e8,Orange Park Police Want Raises from Town Council,0,0,0,0,0,0
eng_8cc408e01057cf0e980eabb4fb0ec2d9,"Quasim Rashid ""Pres. Carter relentlessly advocated for Palestine against Israels illegal military occupation. I wrote about Pres Carters calls for justice for Palestine""",0,1,1,1,1,1
eng_e1957f99c8f1b78895c557d2113ef1ec,The Russians will break any ceasefire. Its guaranteed.,1,0,0,1,0,0
eng_8f1f04787df505c85a791fd231551daa,Keep up the good fight zelensky ukraine,0,0,0,0,0,0
eng_34a86d67113c2afe6480c5eba19d382a,Republicans husband goes viral after refusing to shake Kamala Harris hand,0,0,0,0,0,0
eng_1b3a51105b20c9f022e38a9655fda21e,you are literally siding with Zionists by saying they should be allowed to continue living there as an apartheid state,0,0,0,1,0,0
eng_f0bd293e4df4575b771341a191a18f3b,Rice Teachers Earn Almost $500K Through TIA Program,0,0,0,0,0,0
eng_e1e9277826e351263085e9076041e2c4,"Putin this Putin that, how about you putin that work to get a job.",0,0,0,0,0,0
eng_a38f795ee5bbf740d2effa5c8285755a,"The Italian government has approved the tenth package of military aid to Ukraine. The list of weapons that will be sent to Kyiv is confidential, ANSA reports. Italy Ukraine RussiaIsATerroristState",0,0,0,0,0,0
eng_d7b0d8488b3c623cc0c6055f37240926,Israeli dairy farmers slaughtered by Hamas as they milked,0,0,0,0,0,0
eng_cd5543666f96d9a37c3da11e506381c8,"The ""West Bank"" is back in the news Russian Defense Minister orders the withdrawal of troops from the entire west bank of Dnipro River.",0,0,0,0,0,0
eng_d86f796929fc62c952c95babc161aa6c,"Donald Trump is a criminal, not a media",1,1,0,0,1,1
eng_c393affcda2004cb5b56c87e90ca502b,"It follows decades of dehumanising of Palestinians by Israelis and their governments. Institutionalised racism, in an apartheid state, that has enabled todays ethnic cleansing and genocide.",1,1,1,1,1,0
eng_7d6afd720af6eee98ce3a88a5771b0ed,Business Insider Trumps former chief of staff Mark Meadows investigated in North Carolina over voter registration fraud allegations,0,0,0,0,0,0
eng_921349b014563c3124a01b130363ac3b,Hows that gun control working in Mexico?,0,0,0,0,0,0
eng_067adc4c844cdb920bd20c367c188418,NJ survivor of Hamas attack in Israel still trying to heal,0,0,0,0,0,0
