token,label,pmi,joint_count,token_count,tokens_with_label,p_token,p_label,p_joint,ngram_type
ceasefire in,0,0.7814712664229632,15,15,21162,0.0004123711340206186,0.5817731958762886,0.0004123711340206186,bigram
israelhamas war,0,0.7814712664229632,10,10,21162,0.000274914089347079,0.5817731958762886,0.000274914089347079,bigram
gaza gaza,0,0.7814712664229632,59,59,21162,0.0016219931271477662,0.5817731958762886,0.0016219931271477662,bigram
for ceasefire,0,0.7814712664229629,14,14,21162,0.00038487972508591066,0.5817731958762886,0.00038487972508591066,bigram
president joe,0,0.7814712664229629,12,12,21162,0.00032989690721649484,0.5817731958762886,0.00032989690721649484,bigram
you think,0,0.6745560625064511,13,14,21162,0.00038487972508591066,0.5817731958762886,0.00035738831615120275,bigram
early voting,0,0.6559403843391043,33,36,21162,0.0009896907216494846,0.5817731958762886,0.0009072164948453608,bigram
military aid,0,0.6420682097575466,69,76,21162,0.0020893470790378007,0.5817731958762886,0.0018969072164948455,bigram
supreme court,0,0.6294681729779132,9,10,21162,0.000274914089347079,0.5817731958762886,0.00024742268041237116,bigram
west bank,0,0.5970466952855356,44,50,21162,0.0013745704467353953,0.5817731958762886,0.0012096219931271477,bigram
in ukraine,0,0.5750203889555368,13,15,21162,0.0004123711340206186,0.5817731958762886,0.00035738831615120275,bigram
a ceasefire,0,0.5750203889555368,13,15,21162,0.0004123711340206186,0.5817731958762886,0.00035738831615120275,bigram
to ukraine,0,0.5657425753675258,31,36,21162,0.0009896907216494846,0.5817731958762886,0.000852233676975945,bigram
donald trumps,0,0.559078845086515,12,14,21162,0.00038487972508591066,0.5817731958762886,0.00032989690721649484,bigram
aid to,0,0.5404631669191683,33,39,21162,0.0010721649484536082,0.5817731958762886,0.0009072164948453608,bigram
i thought,0,0.5404631669191682,11,13,21162,0.00035738831615120275,0.5817731958762886,0.00030240549828178693,bigram
thank you,0,0.5404631669191682,11,13,21162,0.00035738831615120275,0.5817731958762886,0.00030240549828178693,bigram
u s,0,0.5299324994269986,21,25,21162,0.0006872852233676976,0.5817731958762886,0.000577319587628866,bigram
gun control,0,0.5184368605891693,15,18,21162,0.0004948453608247423,0.5817731958762886,0.0004123711340206186,bigram
for ukraine,0,0.5184368605891692,10,12,21162,0.00032989690721649484,0.5817731958762886,0.000274914089347079,bigram
donald trump,0,0.46696064309808377,78,97,21162,0.0026666666666666666,0.5817731958762886,0.0021443298969072164,bigram
i would,0,0.4595431715356008,8,10,21162,0.000274914089347079,0.5817731958762886,0.00021993127147766322,bigram
kamala harris,0,0.4557011052412065,75,94,21162,0.002584192439862543,0.5817731958762886,0.002061855670103093,bigram
